,readable,energies
0,[0 0],0.9119731187820435
1,[0 0],0.9119731187820435
2,[0 0],0.9119731187820435
3,[0 0],0.9119731187820435
4,[0 0],0.9119731187820435
5,[1 0],1.3817733526229858
6,[1 0],1.3817733526229858
7,[1 0],1.3817733526229858
8,[1 0],1.3817733526229858
9,[0 1],1.3817733526229858
10,[0 1],1.3817733526229858
11,[0 1],1.3817733526229858
12,[1 0],1.3817733526229858
13,[1 0],1.3817733526229858
14,[1 0],1.3817733526229858
15,[1 0],1.3817733526229858
16,[1 1],2.093590021133423
17,[2 0],1.67744779586792
18,[1 1],2.093590021133423
19,[1 1],2.093590021133423
20,[0 2],1.67744779586792
21,[1 1],2.093590021133423
22,[0 2],1.67744779586792
23,[1 1],2.093590021133423
24,[0 2],1.67744779586792
25,[1 1],2.093590021133423
26,[2 0],1.67744779586792
27,[2 0],1.67744779586792
28,[0 2],1.67744779586792
29,[0 2],1.67744779586792
30,[2 0],1.67744779586792
31,[1 1],2.093590021133423
32,[2 0],1.67744779586792
33,[0 2],1.67744779586792
34,[1 1],2.093590021133423
35,[0 2],1.67744779586792
36,[2 0],1.67744779586792
37,[2 0],1.67744779586792
38,[0 2],1.67744779586792
39,[3 0],1.631618857383728
40,[3 0],1.631618857383728
41,[0 3],1.631618857383728
42,[3 0],1.631618857383728
43,[1 2],2.5415802001953125
44,[1 2],2.5415802001953125
45,[3 0],1.631618857383728
46,[0 3],1.631618857383728
47,[3 0],1.631618857383728
48,[0 3],1.631618857383728
49,[3 0],1.631618857383728
50,[3 0],1.631618857383728
51,[2 1],2.5415802001953125
52,[3 0],1.631618857383728
53,[3 0],1.631618857383728
54,[0 3],1.631618857383728
55,[2 1],2.5415802001953125
56,[2 1],2.5415802001953125
57,[0 3],1.631618857383728
58,[2 1],2.5415802001953125
59,[1 2],2.5415802001953125
60,[2 1],2.5415802001953125
61,[0 3],1.631618857383728
62,[0 3],1.631618857383728
63,[2 1],2.5415802001953125
64,[1 2],2.5415802001953125
65,[0 3],1.631618857383728
66,[2 1],2.5415802001953125
67,[1 2],2.5415802001953125
68,[2 2],3.0854320526123047
69,[3 1],2.472142457962036
70,[2 2],3.0854320526123047
71,[4 0],1.271586298942566
72,[2 2],3.0854320526123047
73,[3 1],2.472142457962036
74,[3 1],2.472142457962036
75,[4 0],1.271586298942566
76,[4 0],1.271586298942566
77,[3 1],2.472142457962036
78,[1 3],2.472142457962036
79,[2 2],3.0854320526123047
80,[3 1],2.472142457962036
81,[2 2],3.0854320526123047
82,[3 1],2.472142457962036
83,[2 2],3.0854320526123047
84,[2 2],3.0854320526123047
85,[1 3],2.472142457962036
86,[3 1],2.472142457962036
87,[2 2],3.0854320526123047
88,[3 1],2.472142457962036
89,[3 1],2.472142457962036
90,[1 3],2.472142457962036
91,[3 1],2.472142457962036
92,[1 3],2.472142457962036
93,[1 3],2.472142457962036
94,[3 1],2.472142457962036
95,[1 3],2.472142457962036
96,[2 2],3.0854320526123047
97,[3 1],2.472142457962036
98,[4 0],1.271586298942566
99,[2 2],3.0854320526123047
100,[0 5],0.7940181493759155
101,[2 3],3.001136064529419
102,[1 4],1.9266401529312134
103,[3 2],3.001136064529419
104,[2 3],3.001136064529419
105,[1 4],1.9266401529312134
106,[4 1],1.9266401529312134
107,[2 3],3.001136064529419
108,[2 3],3.001136064529419
109,[2 3],3.001136064529419
110,[4 1],1.9266401529312134
111,[1 4],1.9266401529312134
112,[2 3],3.001136064529419
113,[2 3],3.001136064529419
114,[4 1],1.9266401529312134
115,[3 2],3.001136064529419
116,[1 4],1.9266401529312134
117,[3 2],3.001136064529419
118,[2 3],3.001136064529419
119,[3 2],3.001136064529419
120,[2 3],3.001136064529419
121,[4 1],1.9266401529312134
122,[2 3],3.001136064529419
123,[3 2],3.001136064529419
124,[1 4],1.9266401529312134
125,[0 5],0.7940181493759155
126,[4 1],1.9266401529312134
127,[4 1],1.9266401529312134
128,[2 3],3.001136064529419
129,[3 2],3.001136064529419
130,[2 3],3.001136064529419
131,[1 4],1.9266401529312134
132,[4 1],1.9266401529312134
133,[3 2],3.001136064529419
134,[2 3],3.001136064529419
135,[3 2],3.001136064529419
136,[3 2],3.001136064529419
137,[0 5],0.7940181493759155
138,[2 3],3.001136064529419
139,[2 4],2.3389062881469727
140,[2 4],2.3389062881469727
141,[3 3],2.9191431999206543
142,[3 3],2.9191431999206543
143,[3 3],2.9191431999206543
144,[2 4],2.3389062881469727
145,[1 5],1.2030543088912964
146,[5 1],1.2030543088912964
147,[2 4],2.3389062881469727
148,[1 5],1.2030543088912964
149,[6 0],0.39725786447525024
150,[4 2],2.3389062881469727
151,[3 3],2.9191431999206543
152,[1 5],1.2030543088912964
153,[6 0],0.39725786447525024
154,[2 4],2.3389062881469727
155,[4 2],2.3389062881469727
156,[3 3],2.9191431999206543
157,[3 3],2.9191431999206543
158,[4 2],2.3389062881469727
159,[3 3],2.9191431999206543
160,[4 2],2.3389062881469727
161,[1 5],1.2030543088912964
162,[1 5],1.2030543088912964
163,[3 3],2.9191431999206543
164,[1 5],1.2030543088912964
165,[2 4],2.3389062881469727
166,[2 4],2.3389062881469727
